pm2_5_AQI,pm10_AQI,nitrogen_dioxide_AQI,carbon_monoxide_AQI,sulphur_dioxide_AQI,AQI_val
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
44.583333333333336,15.0,25.5625,7.199999999999999,8.5625,44.583333333333336
46.25,15.925925925925926,23.0,7.049999999999999,7.875,46.25
49.583333333333336,16.944444444444446,19.375,6.8500000000000005,6.9375,49.583333333333336
54.99570815450644,19.90740740740741,15.5,6.7,6.5,54.99570815450644
58.36051502145923,22.22222222222222,13.75,6.7,7.25,58.36051502145923
60.88412017167382,23.796296296296294,12.75,6.800000000000001,8.625,60.88412017167382
64.45922746781116,26.38888888888889,14.5,6.950000000000001,11.0,64.45922746781116
59.201716738197426,23.055555555555554,18.5,6.950000000000001,13.375,59.201716738197426
61.09442060085837,24.166666666666668,24.5,6.950000000000001,16.125,61.09442060085837
61.72532188841202,24.62962962962963,37.5,7.7,19.375,61.72532188841202
65.5107296137339,26.85185185185185,54.957692307692305,9.4,21.0625,65.5107296137339
65.5107296137339,26.85185185185185,77.00769230769231,11.75,22.4375,77.00769230769231
63.407725321888414,25.27777777777778,92.90128205128204,14.549999999999999,22.5625,92.90128205128204
61.72532188841202,23.796296296296294,89.32051282051282,15.299999999999999,24.0,89.32051282051282
61.30472103004292,23.24074074074074,84.23205128205129,16.3,26.125,84.23205128205129
62.987124463519315,24.166666666666668,78.26410256410257,17.65,28.375,78.26410256410257
66.3519313304721,26.203703703703706,75.62564102564103,18.65,29.1875,75.62564102564103
73.29184549356223,30.462962962962962,73.80384615384615,19.7,29.5,73.80384615384615
78.12875536480686,33.51851851851852,71.60512820512821,19.900000000000002,29.375,78.12875536480686
79.18025751072962,34.166666666666664,70.47435897435898,18.5,29.0625,79.18025751072962
70.55793991416309,28.796296296296298,69.59487179487179,16.150000000000002,28.375,70.55793991416309
60.67381974248927,22.59259259259259,65.7,13.100000000000001,26.0,65.7
53.103004291845494,17.77777777777778,58.91538461538461,11.3,22.0625,58.91538461538461
45.00000000000001,14.62962962962963,50.25,9.55,16.9375,50.25
15.833333333333334,5.277777777777778,38.1875,8.35,13.375,38.1875
22.500000000000004,7.407407407407407,33.0625,7.95,11.0,33.0625
27.916666666666668,9.166666666666668,25.75,7.449999999999999,7.625,27.916666666666668
36.66666666666667,11.944444444444445,18.25,6.950000000000001,4.875,36.66666666666667
51.8412017167382,16.944444444444446,16.3125,6.950000000000001,5.6875,51.8412017167382
56.67811158798283,20.09259259259259,16.1875,7.1,8.0,56.67811158798283
59.412017167381975,21.944444444444443,18.25,7.3999999999999995,11.3125,59.412017167381975
59.832618025751074,22.5,20.625,7.5,13.4375,59.832618025751074
58.99141630901288,22.40740740740741,24.125,7.6,15.6875,58.99141630901288
57.09871244635193,21.48148148148148,33.6875,8.25,18.3125,57.09871244635193
59.412017167381975,23.14814814814815,48.6875,9.4,19.8125,59.412017167381975
58.15021459227468,22.5,67.77307692307693,10.95,21.0625,67.77307692307693
60.46351931330473,23.796296296296294,91.1423076923077,12.4,25.8125,91.1423076923077
55.62660944206009,20.277777777777775,86.93333333333332,12.25,26.1875,86.93333333333332
53.52360515021459,18.611111111111114,80.9025641025641,12.0,26.75,80.9025641025641
53.31330472103004,18.425925925925924,73.74102564102564,11.799999999999999,27.4375,73.74102564102564
54.15450643776824,18.88888888888889,70.53717948717949,11.75,27.8125,70.53717948717949
56.257510729613735,20.277777777777775,68.15,11.700000000000001,28.1875,68.15
60.042918454935624,22.59259259259259,65.38589743589743,12.0,28.3125,65.38589743589743
67.61373390557941,27.314814814814817,63.7525641025641,12.8,28.1875,67.61373390557941
74.55364806866953,31.574074074074076,62.496153846153845,13.850000000000001,27.875,74.55364806866953
75.81545064377683,32.31481481481482,58.91538461538461,14.499999999999998,26.4375,75.81545064377683
74.97424892703863,33.24074074074074,53.45,13.750000000000002,24.0,74.97424892703863
