pm2_5_AQI,pm10_AQI,nitrogen_dioxide_AQI,carbon_monoxide_AQI,sulphur_dioxide_AQI,AQI_val
20.416666666666668,8.425925925925926,4.75,4.15,0.25,20.416666666666668
20.416666666666668,8.148148148148149,4.5,4.2,0.25,20.416666666666668
20.0,7.87037037037037,4.625,4.25,0.25,20.0
20.0,9.351851851851851,4.8125,4.35,0.3125,20.0
20.0,9.814814814814815,4.9375,4.65,0.3125,20.0
19.583333333333336,10.185185185185185,5.1875,5.050000000000001,0.375,19.583333333333336
18.75,10.74074074074074,5.375,5.1499999999999995,0.375,18.75
20.416666666666668,9.25925925925926,5.9375,5.3,0.375,20.416666666666668
22.916666666666668,8.88888888888889,7.8125,5.45,0.625,22.916666666666668
24.583333333333336,8.611111111111112,7.0625,5.55,0.75,24.583333333333336
26.25,8.425925925925926,5.3125,5.4,0.625,26.25
27.916666666666668,8.425925925925926,3.4375,5.1,0.4375,27.916666666666668
24.166666666666668,8.425925925925926,2.4375,4.9,0.3125,24.166666666666668
27.083333333333336,8.333333333333334,1.875,4.65,0.3125,27.083333333333336
26.66666666666667,8.796296296296296,1.5625,4.6,0.375,26.66666666666667
23.333333333333332,8.796296296296296,1.625,4.55,0.5,23.333333333333332
19.583333333333336,7.777777777777779,1.5625,4.5,0.375,19.583333333333336
17.916666666666668,7.314814814814815,1.4375,4.45,0.25,17.916666666666668
17.500000000000004,7.12962962962963,1.75,4.45,0.25,17.500000000000004
18.333333333333336,8.148148148148149,2.25,4.45,0.1875,18.333333333333336
20.0,8.333333333333334,3.625,4.3999999999999995,0.25,20.0
21.666666666666668,8.24074074074074,4.625,4.3999999999999995,0.3125,21.666666666666668
22.500000000000004,8.24074074074074,5.0,4.45,0.3125,22.500000000000004
22.916666666666668,8.055555555555555,5.5625,4.6,0.375,22.916666666666668
23.750000000000004,7.592592592592592,6.9375,5.0,0.4375,23.750000000000004
26.25,7.685185185185186,8.0,5.050000000000001,0.5,26.25
26.66666666666667,8.24074074074074,8.0,5.050000000000001,0.5,26.66666666666667
30.000000000000004,9.25925925925926,7.8125,5.1499999999999995,0.5,30.000000000000004
33.75,9.537037037037038,8.6875,5.25,0.4375,33.75
37.083333333333336,10.462962962962964,8.8125,5.5,0.4375,37.083333333333336
36.66666666666667,11.203703703703704,10.375,5.45,0.8125,36.66666666666667
35.833333333333336,12.87037037037037,12.0,6.4,1.25,35.833333333333336
31.250000000000004,8.24074074074074,10.5625,5.5,0.8125,31.250000000000004
23.750000000000004,6.5740740740740735,6.0625,5.1,0.6875,23.750000000000004
20.833333333333336,6.203703703703704,4.6875,4.8500000000000005,0.875,20.833333333333336
21.666666666666668,6.5740740740740735,3.5,4.8,1.125,21.666666666666668
33.75,6.388888888888889,2.375,4.65,0.875,33.75
29.583333333333336,5.648148148148148,1.9375,4.65,0.6875,29.583333333333336
26.25,5.185185185185185,1.5,4.5,0.5625,26.25
24.166666666666668,5.092592592592593,1.5625,4.5,0.5625,24.166666666666668
23.333333333333332,5.185185185185185,1.75,4.65,0.5,23.333333333333332
23.333333333333332,5.740740740740741,2.1875,4.75,0.5625,23.333333333333332
24.166666666666668,6.5740740740740735,2.375,4.8500000000000005,0.625,24.166666666666668
24.166666666666668,7.037037037037036,4.25,4.8500000000000005,0.625,24.166666666666668
24.166666666666668,6.851851851851852,5.4375,4.8500000000000005,0.4375,24.166666666666668
25.833333333333336,7.407407407407407,6.1875,4.8,0.4375,25.833333333333336
27.5,7.037037037037036,6.4375,4.8500000000000005,0.5625,27.5
30.833333333333336,7.407407407407407,7.1875,5.0,0.6875,30.833333333333336
18.333333333333336,7.87037037037037,6.8125,5.050000000000001,0.6875,18.333333333333336
20.0,8.055555555555555,7.0,5.1499999999999995,0.75,20.0
20.833333333333336,8.796296296296296,7.25,5.3,0.6875,20.833333333333336
21.666666666666668,10.092592592592593,8.0,5.55,0.6875,21.666666666666668
22.500000000000004,10.0,6.1875,5.6000000000000005,0.6875,22.500000000000004
22.916666666666668,10.0,6.375,5.55,0.6875,22.916666666666668
22.083333333333336,10.555555555555555,8.375,5.4,0.75,22.083333333333336
20.416666666666668,7.962962962962963,5.1875,5.2,0.6875,20.416666666666668
16.666666666666668,6.666666666666667,3.5,4.9,0.75,16.666666666666668
16.25,6.296296296296296,2.8125,4.9,0.6875,16.25
17.916666666666668,5.9259259259259265,2.25,4.9,0.6875,17.916666666666668
19.583333333333336,5.740740740740741,1.8125,4.9,0.6875,19.583333333333336
21.25,5.648148148148148,1.375,4.9,0.8125,21.25
22.916666666666668,6.203703703703704,1.0625,4.9,0.8125,22.916666666666668
24.166666666666668,6.481481481481482,1.3125,4.8,0.8125,24.166666666666668
25.416666666666668,5.648148148148148,1.75,4.8,0.6875,25.416666666666668
26.25,5.833333333333333,2.375,4.8,0.5625,26.25
26.25,6.018518518518518,2.8125,4.9,0.5625,26.25
25.833333333333336,6.018518518518518,5.125,5.1499999999999995,0.75,25.833333333333336
23.750000000000004,6.388888888888889,8.125,5.35,0.8125,23.750000000000004
21.25,7.222222222222222,7.875,6.0,1.4375,21.25
19.583333333333336,8.518518518518517,7.875,6.2,2.0625,19.583333333333336
18.75,8.796296296296296,6.8125,6.800000000000001,2.5625,18.75
19.166666666666668,8.796296296296296,7.0,6.45,1.875,19.166666666666668
23.333333333333332,9.074074074074074,6.6875,5.45,0.9375,23.333333333333332
24.166666666666668,10.185185185185185,7.0625,5.1,0.875,24.166666666666668
25.416666666666668,11.018518518518519,6.6875,4.9,0.875,25.416666666666668
