pm2_5_AQI,pm10_AQI,nitrogen_dioxide_AQI,carbon_monoxide_AQI,sulphur_dioxide_AQI,AQI_val
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
18.75,6.296296296296296,6.375,5.800000000000001,1.875,18.75
18.75,6.388888888888889,6.25,5.75,2.125,18.75
22.083333333333336,7.5,6.1875,5.7,2.5625,22.083333333333336
26.25,8.88888888888889,8.0625,5.75,3.75,26.25
27.083333333333336,9.166666666666668,12.3125,6.0,5.5625,27.083333333333336
32.5,10.833333333333332,18.125,6.3,7.875,32.5
40.0,13.148148148148147,25.5625,6.75,10.375,40.0
40.416666666666664,13.240740740740742,29.9375,6.950000000000001,11.25,40.416666666666664
39.16666666666667,12.87037037037037,34.0,7.1499999999999995,11.5625,39.16666666666667
37.91666666666667,12.407407407407408,38.8125,7.5,11.6875,38.8125
38.75000000000001,12.592592592592592,41.9375,7.95,11.6875,41.9375
40.833333333333336,13.148148148148147,44.75,8.450000000000001,11.5625,44.75
41.66666666666667,13.240740740740742,35.25,7.9,6.125,41.66666666666667
42.5,13.61111111111111,39.1875,8.6,6.1875,42.5
43.333333333333336,13.796296296296296,44.8125,9.6,6.1875,44.8125
43.75,13.981481481481481,51.37692307692307,10.75,6.125,51.37692307692307
43.75,13.981481481481481,55.3974358974359,11.25,5.9375,55.3974358974359
42.91666666666667,13.703703703703704,58.8525641025641,11.600000000000001,5.6875,58.8525641025641
41.66666666666667,13.333333333333334,60.36025641025641,11.799999999999999,5.125,60.36025641025641
40.416666666666664,12.87037037037037,58.35,11.75,4.4375,58.35
38.75000000000001,12.407407407407408,54.14102564102564,11.600000000000001,3.625,54.14102564102564
36.66666666666667,11.666666666666666,45.75,10.85,2.6875,45.75
35.41666666666667,11.38888888888889,35.1875,9.65,2.125,35.41666666666667
25.833333333333336,8.425925925925926,22.0625,8.05,1.625,25.833333333333336
20.833333333333336,6.851851851851852,14.875,8.55,3.4375,20.833333333333336
21.25,6.944444444444445,13.8125,7.95,3.25,21.25
20.416666666666668,6.7592592592592595,12.3125,7.1,3.0,20.416666666666668
21.25,6.944444444444445,12.4375,6.35,3.875,21.25
37.5,12.12962962962963,16.0,6.5,6.5625,37.5
43.333333333333336,13.981481481481481,21.4375,7.000000000000001,10.3125,43.333333333333336
39.583333333333336,12.87037037037037,27.1875,7.6,13.6875,39.583333333333336
41.66666666666667,13.518518518518519,28.1875,7.6499999999999995,13.25,41.66666666666667
45.833333333333336,15.185185185185183,27.75,7.55,11.4375,45.833333333333336
49.583333333333336,16.574074074074073,28.25,7.6,9.25,49.583333333333336
52.05150214592275,17.59259259259259,31.0625,7.95,8.8125,52.05150214592275
52.892703862660944,18.24074074074074,35.0,8.450000000000001,8.8125,52.892703862660944
61.51502145922747,23.425925925925927,56.779487179487184,11.799999999999999,12.3125,61.51502145922747
61.72532188841202,23.703703703703706,55.460256410256406,11.85,11.9375,61.72532188841202
61.09442060085837,22.87037037037037,53.57564102564102,11.95,11.375,61.09442060085837
60.46351931330473,22.5,51.37692307692307,12.049999999999999,10.5625,60.46351931330473
60.25321888412017,22.22222222222222,51.18846153846154,12.15,9.875,60.25321888412017
60.25321888412017,22.5,51.5025641025641,12.2,9.0625,60.25321888412017
61.09442060085837,23.14814814814815,49.6875,12.2,8.1875,61.09442060085837
62.14592274678112,23.796296296296294,44.5625,11.95,7.625,62.14592274678112
64.45922746781116,25.37037037037037,37.4375,11.55,7.125,64.45922746781116
65.72103004291846,26.11111111111111,27.875,11.3,6.9375,65.72103004291846
67.61373390557941,27.5,21.125,11.5,7.5,67.61373390557941
67.82403433476395,28.055555555555557,14.4375,11.899999999999999,8.5,67.82403433476395
52.05150214592275,18.24074074074074,6.25,11.55,9.6875,52.05150214592275
54.78540772532189,19.62962962962963,6.6875,11.65,9.3125,54.78540772532189
