pm2_5_AQI,pm10_AQI,nitrogen_dioxide_AQI,carbon_monoxide_AQI,sulphur_dioxide_AQI,AQI_val
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
52.892703862660944,17.12962962962963,3.25,10.45,0.75,52.892703862660944
51.63090128755365,16.38888888888889,2.875,10.4,0.75,51.63090128755365
51.4206008583691,16.296296296296298,2.375,10.299999999999999,0.75,51.4206008583691
51.63090128755365,16.48148148148148,1.75,10.100000000000001,0.75,51.63090128755365
47.91666666666667,15.277777777777779,1.375,9.8,0.75,47.91666666666667
45.833333333333336,14.722222222222223,1.25,9.45,1.0,45.833333333333336
45.00000000000001,14.351851851851851,1.125,9.1,1.125,45.00000000000001
44.583333333333336,14.25925925925926,1.125,9.0,1.25,44.583333333333336
42.083333333333336,13.518518518518519,1.125,8.95,1.25,42.083333333333336
38.75000000000001,12.314814814814815,1.5,9.0,1.375,38.75000000000001
32.91666666666667,10.555555555555555,2.375,9.0,1.5,32.91666666666667
30.416666666666668,9.62962962962963,3.5,9.1,1.5,30.416666666666668
52.05150214592275,16.75925925925926,5.75,9.049999999999999,2.375,52.05150214592275
52.261802575107296,16.944444444444446,7.5,9.2,2.5,52.261802575107296
51.8412017167382,16.574074074074073,9.875,9.4,2.75,51.8412017167382
51.0,16.11111111111111,12.25,9.6,3.0,51.0
48.333333333333336,15.370370370370372,12.0,9.55,3.0,48.333333333333336
48.333333333333336,15.277777777777779,11.0,9.45,3.0,48.333333333333336
48.75,15.555555555555557,9.75,9.35,2.875,48.75
